time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-09T23:58:14.039Z,65.1611,-148.5136,3.1,0.7,ml,,,,0.25,ak,ak0204lrs4wp,2020-04-17T16:07:24.972Z,"42km NNW of Ester, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-04-09T23:57:58.629Z,39.7875,-120.7128,0,0.9,ml,5,183.54,0.283,0.1819,nn,nn00721458,2020-04-10T02:09:21.886Z,"21km W of Portola, California",earthquake,,0,0.25,3,reviewed,nn,nn
2020-04-09T23:53:56.890Z,19.373,-155.2238333,2.11,1.88,ml,28,95,0.007911,0.09,hv,hv71466902,2020-04-10T01:50:39.820Z,"6km SSE of Volcano, Hawaii",earthquake,0.25,0.22,0.187,7,reviewed,hv,hv
2020-04-09T23:53:26.080Z,19.1786667,-155.4361667,33.23,1.69,md,28,165,0.03372,0.1,hv,hv71466897,2020-04-10T02:04:16.070Z,"5km ESE of Pahala, Hawaii",earthquake,0.73,0.93,0.061,12,reviewed,hv,hv
2020-04-09T23:53:01.920Z,33.4851667,-116.4973333,11.89,0.45,ml,13,59,0.07743,0.15,ci,ci39379864,2020-04-09T23:56:41.853Z,"18km ESE of Anza, CA",earthquake,0.37,1.03,0.175,9,automatic,ci,ci
2020-04-09T23:51:24.190Z,33.4718333,-116.4353333,1.8,0.94,ml,33,77,0.117,0.18,ci,ci39379848,2020-04-10T13:35:12.570Z,"24km ESE of Anza, CA",earthquake,0.23,0.35,0.164,23,reviewed,ci,ci
2020-04-09T23:45:58.630Z,48.265,-120.739333333333,13.62,1.12,md,7,180,0.3046,0.25,uw,uw61595982,2020-04-15T22:36:52.340Z,"44km SW of Mazama, Washington",earthquake,2.03,8.96,0.210782007169071,2,reviewed,uw,uw
2020-04-09T23:41:08.010Z,38.823,-122.8066667,2.94,0.22,md,17,117,0.002691,0.02,nc,nc73366550,2020-04-10T20:13:05.998Z,"7km NW of The Geysers, CA",earthquake,0.29,0.61,0.035,2,reviewed,nc,nc
2020-04-09T23:39:47.300Z,19.2220001,-155.4293365,30.65,1.91,md,45,129,0.0338,0.12,hv,hv71466882,2020-04-09T23:43:06.990Z,"5km ENE of Pahala, Hawaii",earthquake,0.61,0.8,0.29,20,automatic,hv,hv
2020-04-09T23:38:10.730Z,35.661,-117.524,7.9,0.52,ml,13,96,0.1129,0.19,ci,ci39379840,2020-04-14T00:41:05.435Z,"14km ENE of Ridgecrest, CA",earthquake,0.4,2.04,0.156,7,reviewed,ci,ci
