time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-05-19T23:57:25.282Z,60.3771,-152.8413,122.9,2.5,ml,,,,0.7,ak,ak0156e9qhbk,2019-05-21T04:02:20.316Z,"13km SSW of Redoubt Volcano, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2015-05-19T23:56:45.461Z,64.8956,-147.9791,24.2,0.2,ml,,,,0.35,ak,ak0156e9qb5u,2019-05-21T04:02:19.981Z,"4km ENE of Ester, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2015-05-19T23:53:29.600Z,38.8131676,-122.8134995,2.579,0.89,md,21,47,0.01081,0.02,nc,nc72452006,2017-02-07T20:44:28.615Z,"6km NW of The Geysers, California",earthquake,0.26,0.47,0.09,6,automatic,nc,nc
2015-05-19T23:45:57.510Z,43.846,148.2789,55.03,4.6,mb,,136,4.112,0.9,us,us10002anl,2015-07-23T01:04:12.040Z,"125km E of Shikotan, Russia",earthquake,9.6,7.5,0.059,85,reviewed,us,us
2015-05-19T23:45:12.523Z,62.8776,-151.0919,114.3,1.1,ml,,,,0.61,ak,ak0156e9nvqs,2019-05-21T04:02:19.666Z,"79km NW of Talkeetna, Alaska",earthquake,,1,,,reviewed,ak,ak
2015-05-19T23:43:35.580Z,38.7845001,-122.7708359,1.427,0.89,md,13,116,0.01441,0.03,nc,nc72452001,2017-02-07T20:44:21.367Z,"1km WNW of The Geysers, California",earthquake,0.4,0.82,0.01,3,automatic,nc,nc
2015-05-19T23:43:02.691Z,38.5169,-118.5177,8.8,0.8,ml,8,146.54,0.111,0.1149,nn,nn00495009,2018-06-29T23:53:24.873Z,"9km E of Hawthorne, Nevada",earthquake,,2.4,0.38,4,reviewed,nn,nn
2015-05-19T23:38:40.600Z,18.6326,-66.2061,68,2.4,Md,8,223.2,0.34315644,0.23,pr,pr15139004,2015-05-20T03:48:24.512Z,"20km N of Levittown, Puerto Rico",earthquake,1.5,1.6,0,8,reviewed,pr,pr
2015-05-19T23:38:38.880Z,40.3446667,-121.7021667,2.964,0.52,md,8,92,0.09099,0.73,nc,nc72451996,2017-02-07T20:44:15.050Z,"22km SE of Shingletown, California",earthquake,3.87,44.32,0.137,7,reviewed,nc,nc
2015-05-19T23:36:50.422Z,65.2235,-149.3063,12.4,0.6,ml,,,,0.76,ak,ak0156e9m182,2019-05-21T04:02:19.325Z,"66km ENE of Manley Hot Springs, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2015-05-19T23:33:21.530Z,36.006,-117.8033333,0.58,0.4,mh,6,80,0.03634,0.05,ci,ci37165295,2016-03-11T17:21:21.598Z,"12km NE of Little Lake, CA",earthquake,0.18,0.85,,0,reviewed,ci,ci
2015-05-19T23:29:46.891Z,38.0837,-118.8652,8.3,1.1,ml,8,182.27,0.07,0.168,nn,nn00495003,2018-06-29T23:53:24.753Z,"37km ESE of Bridgeport, California",earthquake,,4.1,0.07,2,reviewed,nn,nn
2015-05-19T23:23:20.800Z,36.1442,-96.6756,3.759,2.7,ml,,101,,0.65,us,us10002b3z,2015-07-23T01:04:12.040Z,"3km NNE of Yale, Oklahoma",earthquake,2.3,4.4,,,reviewed,tul,tul
2015-05-19T23:22:40.640Z,38.8191681,-122.8193359,1.013,0.18,md,5,111,0.008108,0.02,nc,nc72451991,2017-02-07T20:44:08.167Z,"Northern California",earthquake,0.62,0.97,0.12,2,automatic,nc,nc
2015-05-19T23:19:39.010Z,38.8336667,-122.8758333,2.606,0.73,md,26,64,0.007207,0.03,nc,nc71091894,2017-02-07T20:44:02.016Z,"12km ENE of Cloverdale, California",earthquake,0.22,0.46,0.031,5,reviewed,nc,nc
2015-05-19T23:18:57.090Z,36.6565,-120.8413333,4.15,1.9,md,31,153,0.03964,0.07,nc,nc72451986,2017-02-07T20:43:53.350Z,"38km SSW of South Dos Palos, California",earthquake,0.47,1.03,0.178,39,reviewed,nc,nc
2015-05-19T23:18:17.145Z,54.5287,-162.2104,22.9,2.4,ml,,,,0.46,ak,ak0156e9i3rm,2019-05-21T04:02:18.992Z,"84km SSE of Cold Bay, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2015-05-19T23:09:55.700Z,38.840332,-122.8270035,1.69,0.56,md,9,75,0.01441,0.02,nc,nc72451981,2017-02-07T20:43:42.511Z,"9km WNW of Cobb, California",earthquake,0.39,0.68,,2,automatic,nc,nc
2015-05-19T22:53:36.077Z,52.0188,179.6642,193.6,2.7,ml,,,,0.4,ak,ak0156e947on,2019-05-14T08:13:22.713Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,1,,,reviewed,ak,ak
2015-05-19T22:53:36.000Z,50.0646,-179.3297,32.2,2.8,ml,,,,0.47,us,us20002k85,2015-07-23T01:04:12.040Z,"134km S of Amatignak Island, Alaska",earthquake,11.7,10,,,reviewed,ak,ak
2015-05-19T22:52:13.290Z,33.5885,-116.8205,7.81,0.38,ml,15,95,0.04725,0.13,ci,ci37165239,2016-03-12T04:44:17.314Z,"14km WNW of Anza, CA",earthquake,0.32,0.61,0.141,3,reviewed,ci,ci
2015-05-19T22:50:37.370Z,36.0178333,-117.9768333,3.2,0.02,ml,9,194,0.0708,0.1,ci,ci37165247,2016-03-11T06:28:01.471Z,"4km SW of Coso Junction, CA",earthquake,0.35,0.73,0.096,1,reviewed,ci,ci
2015-05-19T22:45:34.630Z,38.8148346,-122.8506699,6.003,0.57,md,10,114,0.01712,0.02,nc,nc72451951,2017-02-07T20:43:35.481Z,"9km WNW of The Geysers, California",earthquake,1.71,1.93,,1,automatic,nc,nc
